PETUNJUK PENGISIAN:,,,,,,,,,,,,,,,,,,,,
- Hapus baris PETUNJUK ini sebelum dikirim,,,,,,,,,,,,,,,,,,,,
- Kolom bertanda * wajib diisi,,,,,,,,,,,,,,,,,,,,
- Kategori: vehicle / heavy_equipment / tools / electronics / furniture,,,,,,,,,,,,,,,,,,,,
- Status: available / on_project / on_rent / on_maintenance / retired,,,,,,,,,,,,,,,,,,,,
- Kondisi: excellent / good / fair / poor,,,,,,,,,,,,,,,,,,,,
- Harga dalam Rupiah tanpa titik/koma,,,,,,,,,,,,,,,,,,,,
- Format tanggal: YYYY-MM-DD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NO*,KODE ASET*,NAMA ASET*,KATEGORI*,MERK,MODEL/TIPE,TAHUN,NO SERI / CHASSIS,NO POLISI (KENDARAAN),TGL BELI,HARGA BELI (Rp),NILAI SAAT INI (Rp),KONDISI*,STATUS*,LOKASI SAAT INI,TARIF SEWA/HARI (Rp),PROYEK SAAT INI (KODE),CATATAN
1,AST-VHC-001,Toyota Veloz,vehicle,Toyota,Veloz,2020,,AB XXXX XX,2020-11-03,,,,available,Banjarmasin,,,[isi info tambahan]
2,AST-VHC-002,Toyota Hiace,vehicle,Toyota,Hiace,2020,,AB XXXX XX,2020-11-03,,,,available,Banjarmasin,,,
3,AST-VHC-003,Toyota Hilux,vehicle,Toyota,Hilux,2020,,AB XXXX XX,2020-11-03,,,,available,Banjarmasin,,,
4,AST-VHC-004,Toyota Venturer,vehicle,Toyota,Venturer,2020,,AB XXXX XX,2020-11-03,,,,available,Banjarmasin,,,
5,AST-VHC-005,Toyota Veloz,vehicle,Toyota,Veloz,2020,,AB XXXX XX,2020-11-03,,,,available,Banjarmasin,,,
6,AST-VHC-006,Toyota Hiace,vehicle,Toyota,Hiace,2020,,AB XXXX XX,2020-11-03,,,,available,Surabaya,,,
7,AST-VHC-007,Toyota Hilux,vehicle,Toyota,Hilux,2020,,AB XXXX XX,2020-11-03,,,,available,Surabaya,,,
8,AST-VHC-008,Toyota Venturer,vehicle,Toyota,Venturer,2020,,AB XXXX XX,2020-11-03,,,,available,Surabaya,,,
9,AST-VHC-009,[Isi nama kendaraan],vehicle,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],[Isi no polisi],[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],[Isi tarif],[Isi kode proyek],
10,AST-VHC-010,[Isi nama kendaraan],vehicle,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],[Isi no polisi],[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],[Isi tarif],[Isi kode proyek],
11,AST-VHC-011,[Isi nama kendaraan],vehicle,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],[Isi no polisi],[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],[Isi tarif],[Isi kode proyek],
12,AST-VHC-012,[Isi nama kendaraan],vehicle,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],[Isi no polisi],[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],[Isi tarif],[Isi kode proyek],
13,AST-VHC-013,[Isi nama kendaraan],vehicle,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],[Isi no polisi],[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],[Isi tarif],[Isi kode proyek],
14,AST-VHC-014,[Isi nama kendaraan],vehicle,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],[Isi no polisi],[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],[Isi tarif],[Isi kode proyek],
15,AST-EQP-001,[Isi nama alat berat],heavy_equipment,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],N/A,[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],[Isi tarif sewa],[Isi kode proyek],[Isi jenis: excavator/bulldozer/loader]
16,AST-EQP-002,[Isi nama alat berat],heavy_equipment,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],N/A,[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],[Isi tarif sewa],[Isi kode proyek],
17,AST-TLS-001,[Isi nama peralatan],tools,[Isi merk],[Isi model],[Isi tahun],[Isi no seri],N/A,[Isi tgl beli],[Isi harga],[Isi nilai],[Isi kondisi],[Isi status],[Isi lokasi],,[Isi kode proyek],
