PETUNJUK PENGISIAN:,,,,,,,,,,,,,,,,,
- Hapus baris PETUNJUK ini sebelum dikirim,,,,,,,,,,,,,,,,,
- Isi setiap kolom sesuai header,,,,,,,,,,,,,,,,,
- Kolom bertanda * wajib diisi,,,,,,,,,,,,,,,,,
- Gunakan format tanggal: YYYY-MM-DD (contoh: 2025-01-15),,,,,,,,,,,,,,,,,
- Status: draft / active / on_hold / completed / cancelled,,,,,,,,,,,,,,,,,
- Tipe Proyek: procurement / maintenance / construction / labor_supply / rental,,,,,,,,,,,,,,,,,
- Kategori: PLTU / mining / industrial / telecom / civil / other,,,,,,,,,,,,,,,,,
- Prioritas: low / medium / high / critical,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NO*,KODE PROYEK*,NAMA PROYEK*,NAMA KLIEN*,TIPE PROYEK*,KATEGORI,STATUS*,PRIORITAS,NAMA PIC / PM,LOKASI,KOTA,PROVINSI,TANGGAL MULAI,TANGGAL SELESAI,NILAI KONTRAK (Rp),BUDGET (Rp),NO KONTRAK,NO SPK,DESKRIPSI SINGKAT,CATATAN
1,PRJ-2025-001,Pengadaan Baterai & Charger PLTU Asam-Asam,PT PLN IP UBP Asam-Asam,procurement,PLTU,completed,high,Harry Nata,PLTU Asam-Asam,Tanah Laut,Kalimantan Selatan,2025-01-10,2025-03-30,320000000,,KTR/2025/001,SPK/2025/001,Pengadaan baterai dan charger untuk sistem UPS PLTU,
2,PRJ-2025-002,Instalasi Unit UPS PLTU Asam-Asam,PT PLN IP UBP Asam-Asam,maintenance,PLTU,completed,high,Harry Nata,PLTU Asam-Asam,Tanah Laut,Kalimantan Selatan,2025-02-01,2025-04-15,245000000,,KTR/2025/002,SPK/2025/002,Instalasi dan commissioning unit UPS,
3,PRJ-2025-003,Perbaikan & Inspeksi Generator,,[Isi nama klien],PLTU,active,medium,[Isi nama PM],[Isi lokasi],[Isi kota],[Isi provinsi],,,,,,,Perbaikan dan inspeksi generator rutin,
4,PRJ-2025-004,Sewa Excavator Kalsel,[Isi nama klien],rental,mining,active,medium,[Isi nama PM],Banjarmasin,Banjarmasin,Kalimantan Selatan,,,,,,,Rental excavator untuk proyek tambang,
5,PRJ-2025-005,Supply Tenaga Kerja,[Isi nama klien],labor_supply,industrial,active,low,[Isi nama PM],[Isi lokasi],[Isi kota],[Isi provinsi],,,,,,,Penyediaan tenaga kerja: driver security helper,
6,[Isi kode],[Isi nama proyek],[Isi klien],[Isi tipe],[Isi kategori],[Isi status],[Isi prioritas],[Isi PM],[Isi lokasi],[Isi kota],[Isi provinsi],[Isi tgl mulai],[Isi tgl selesai],[Isi nilai kontrak],[Isi budget],[Isi no kontrak],[Isi no SPK],[Isi deskripsi],
7,[Isi kode],[Isi nama proyek],[Isi klien],[Isi tipe],[Isi kategori],[Isi status],[Isi prioritas],[Isi PM],[Isi lokasi],[Isi kota],[Isi provinsi],[Isi tgl mulai],[Isi tgl selesai],[Isi nilai kontrak],[Isi budget],[Isi no kontrak],[Isi no SPK],[Isi deskripsi],
8,[Isi kode],[Isi nama proyek],[Isi klien],[Isi tipe],[Isi kategori],[Isi status],[Isi prioritas],[Isi PM],[Isi lokasi],[Isi kota],[Isi provinsi],[Isi tgl mulai],[Isi tgl selesai],[Isi nilai kontrak],[Isi budget],[Isi no kontrak],[Isi no SPK],[Isi deskripsi],
9,[Isi kode],[Isi nama proyek],[Isi klien],[Isi tipe],[Isi kategori],[Isi status],[Isi prioritas],[Isi PM],[Isi lokasi],[Isi kota],[Isi provinsi],[Isi tgl mulai],[Isi tgl selesai],[Isi nilai kontrak],[Isi budget],[Isi no kontrak],[Isi no SPK],[Isi deskripsi],
10,[Isi kode],[Isi nama proyek],[Isi klien],[Isi tipe],[Isi kategori],[Isi status],[Isi prioritas],[Isi PM],[Isi lokasi],[Isi kota],[Isi provinsi],[Isi tgl mulai],[Isi tgl selesai],[Isi nilai kontrak],[Isi budget],[Isi no kontrak],[Isi no SPK],[Isi deskripsi],
